# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.85
4                       9.71
8                      19.45
16                     38.84
32                     77.66
64                    149.89
128                   299.26
256                   566.30
512                  1115.97
1024                 2119.43
2048                 4253.87
4096                 6261.36
8192                 8991.69
16384                9273.69
32768                9807.44
65536               11996.98
131072              12171.29
262144              12258.16
524288              12301.22
1048576             12323.73
2097152             12333.64
4194304             12339.63
