# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.74
4                       7.50
8                      14.99
16                     30.01
32                     59.91
64                    117.52
128                   234.99
256                   444.96
512                   880.86
1024                 1635.09
2048                 4061.54
4096                 5584.48
8192                 8462.05
16384                9134.93
32768                9630.87
65536               11938.79
131072              12124.59
262144              12230.52
524288              12287.42
1048576             12316.54
2097152             12330.88
4194304             12338.33
