# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.75
4                       7.49
8                      14.98
16                     29.94
32                     59.74
64                    117.53
128                   234.45
256                   446.39
512                   877.31
1024                 1629.50
2048                 3920.81
4096                 5658.35
8192                 8650.09
16384                9393.14
32768                9946.31
65536               11928.68
131072              12122.85
262144              12228.57
524288              12287.78
1048576             12316.92
2097152             12331.07
4194304             12338.13
