# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.28
2                       4.57
4                       9.14
8                      18.27
16                     36.56
32                     73.07
64                    159.86
128                   318.68
256                   545.19
512                  1082.48
1024                 2094.04
2048                 4184.20
4096                 6074.85
8192                 8708.79
16384                9092.06
32768                9631.72
65536               11924.31
131072              12125.70
262144              12232.98
524288              12290.81
1048576             12317.93
2097152             12331.19
4194304             12337.87
