# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.41
1                       2.41
2                       2.41
4                       2.41
8                       2.42
16                      2.43
32                      2.62
64                      2.92
128                     2.95
256                     3.69
512                     3.72
1024                    4.24
2048                    4.47
4096                    5.50
8192                    6.26
16384                   7.18
32768                   9.30
65536                  12.67
131072                 20.08
262144                 31.32
524288                 52.70
1048576                94.88
2097152               179.90
4194304               349.71
