# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.90
1                       1.90
2                       1.90
4                       1.91
8                       1.90
16                      1.91
32                      2.11
64                      2.47
128                     2.54
256                     3.00
512                     3.43
1024                    3.83
2048                    4.07
4096                    4.98
8192                    5.48
16384                   7.07
32768                   9.72
65536                  14.51
131072                 23.98
262144                 27.99
524288                 50.05
1048576                93.02
2097152               177.80
4194304               347.69
