# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.85
2                       3.72
4                       7.44
8                      14.88
16                     29.73
32                     59.34
64                    117.54
128                   233.24
256                   443.64
512                   873.56
1024                 1687.05
2048                 3671.67
4096                 5768.02
8192                 8431.46
16384                9200.52
32768                9684.20
65536               11941.27
131072              12123.89
262144              12232.40
524288              12205.76
1048576             12316.48
2097152             12330.47
4194304             12338.18
