# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.87
4                       9.73
8                      19.50
16                     38.91
32                     77.59
64                    150.61
128                   297.80
256                   565.40
512                  1122.54
1024                 2131.96
2048                 4360.80
4096                 6356.18
8192                 9004.14
16384                9361.03
32768                9843.74
65536               12005.17
131072              12172.77
262144              12257.92
524288              12301.39
1048576             12323.17
2097152             12333.73
4194304             12339.76
