# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.82
1                       1.82
2                       1.82
4                       1.83
8                       1.83
16                      1.84
32                      2.00
64                      2.35
128                     2.37
256                     3.17
512                     3.18
1024                    3.75
2048                    3.99
4096                    4.92
8192                    5.66
16384                   6.65
32768                   8.43
65536                  11.70
131072                 18.65
262144                 28.97
524288                 49.97
1048576                92.51
2097152               177.71
4194304               347.44
