# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.47
1                       2.47
2                       2.47
4                       2.47
8                       2.47
16                      2.48
32                      2.70
64                      2.90
128                     2.91
256                     3.58
512                     3.61
1024                    4.16
2048                    4.23
4096                    5.23
8192                    5.66
16384                   6.65
32768                   9.27
65536                  12.74
131072                 20.13
262144                 30.39
524288                 51.80
1048576                94.57
2097152               179.69
4194304               349.50
