# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.93
1                       1.93
2                       1.92
4                       1.93
8                       1.93
16                      1.94
32                      2.15
64                      2.33
128                     2.35
256                     3.03
512                     3.12
1024                    3.61
2048                    3.73
4096                    4.43
8192                    4.79
16384                   5.84
32768                   8.47
65536                  12.02
131072                 19.38
262144                 28.55
524288                 49.98
1048576                93.02
2097152               177.89
4194304               347.75
