# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.74
4                       7.50
8                      15.01
16                     30.01
32                     59.60
64                    117.95
128                   235.21
256                   445.71
512                   880.43
1024                 1694.92
2048                 3741.26
4096                 5611.34
8192                 8797.27
16384                9256.71
32768                9681.21
65536               11938.90
131072              12136.76
262144              12239.37
524288              12210.69
1048576             12319.42
2097152             12331.67
4194304             12338.32
