# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.32
2                       4.64
4                       9.25
8                      18.49
16                     37.21
32                     73.79
64                    143.61
128                   286.48
256                   545.35
512                  1077.38
1024                 2058.77
2048                 4185.63
4096                 6008.30
8192                 8648.93
16384                9041.16
32768                9589.50
65536               11904.67
131072              12102.52
262144              12222.67
524288              12282.37
1048576             12313.96
2097152             12330.09
4194304             12337.74
