
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.84
8                      18.66
16                     18.28
32                     19.42
64                     20.97
128                    23.71
256                    26.36
512                    30.10
1024                   33.81
2048                   35.61
4096                   83.44
8192                   81.87
16384                  92.99
32768                 117.52
65536                 166.81
131072                237.29
262144                440.70
524288               1031.30
1048576              2049.33
