
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.75
8                      19.79
16                     18.29
32                     19.35
64                     20.97
128                    23.68
256                    34.17
512                    46.09
1024                   71.02
2048                   35.60
4096                   81.37
8192                   81.79
16384                  90.78
32768                 116.31
65536                 163.92
131072                248.43
262144                441.78
524288               1024.14
1048576              2022.83
