
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.85
8                      19.39
16                     18.33
32                     19.27
64                     20.92
128                    23.55
256                    26.22
512                    29.06
1024                   32.05
2048                   35.56
4096                   84.55
8192                   82.10
16384                 102.53
32768                 118.67
65536                 169.62
131072                234.05
262144                440.33
524288               1010.43
1048576              2043.97
