
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.95
8                      18.27
16                     20.09
32                     19.12
64                     20.83
128                    23.57
256                    26.02
512                    29.10
1024                   32.16
2048                   35.42
4096                   82.81
8192                   81.42
16384                  91.82
32768                 116.99
65536                 164.97
131072                261.63
262144                438.86
524288               1027.58
1048576              2031.78
