
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.81
8                      18.46
16                     18.18
32                     19.59
64                     21.14
128                    25.24
256                    26.18
512                    28.88
1024                   33.95
2048                   35.36
4096                   81.34
8192                   81.92
16384                  91.58
32768                 114.29
65536                 164.76
131072                246.84
262144                439.90
524288               1022.38
1048576              2032.39
