
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.46
8                      18.42
16                     18.31
32                     19.55
64                     21.93
128                    23.60
256                    26.19
512                    29.02
1024                   32.36
2048                   35.83
4096                   81.37
8192                   81.82
16384                 100.57
32768                 118.24
65536                 162.80
131072                245.39
262144                441.39
524288               1046.64
1048576              2033.04
