
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.79
8                      18.35
16                     18.24
32                     19.35
64                     21.03
128                    25.35
256                    26.23
512                    28.73
1024                   33.20
2048                   35.37
4096                   81.30
8192                   82.34
16384                  92.49
32768                 119.13
65536                 165.95
131072                238.89
262144                440.89
524288               1031.95
1048576              2033.05
