
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.19
8                      18.78
16                     18.89
32                     19.42
64                     21.11
128                    23.73
256                    27.65
512                    28.79
1024                   32.36
2048                   35.52
4096                   82.54
8192                   83.09
16384                  94.17
32768                 114.04
65536                 176.37
131072                240.81
262144                440.92
524288               1019.94
1048576              2062.47
