
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.43
8                      18.85
16                     18.40
32                     19.26
64                     20.92
128                    23.62
256                    26.17
512                    28.74
1024                   32.20
2048                   35.77
4096                   81.29
8192                   82.49
16384                 103.44
32768                 121.88
65536                 162.00
131072                241.03
262144                440.33
524288               1010.83
1048576              2031.69
