[1751139385.061127] [flux-sample-8:123  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
[1751139385.071920] [flux-sample-14:123  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       1.68
2                       1.67
4                       1.68
8                       1.68
16                      1.68
32                      1.93
64                      2.22
128                     2.24
256                     2.97
512                     3.00
1024                    3.57
2048                    3.73
4096                    4.51
8192                    5.08
16384                   5.99
32768                   8.19
65536                  11.57
131072                 18.67
262144                 27.83
524288                 49.00
1048576                91.89
2097152               177.10
4194304               347.01
