[1751139361.455037] [flux-sample-8:111  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1751139361.450583] [flux-sample-22:119  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       1.87
2                       3.76
4                       7.56
8                      15.10
16                     30.14
32                     59.68
64                    118.18
128                   234.41
256                   443.96
512                   878.76
1024                 1633.03
2048                 3824.43
4096                 5583.35
8192                 8228.66
16384                9183.42
32768                9600.83
65536               11943.59
131072              12004.48
262144              12242.62
524288              12293.99
1048576             12319.97
2097152             12331.93
4194304             12338.61
