[1751139396.330674] [flux-sample-14:135  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file

# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
[1751139396.332106] [flux-sample-17:135  :0]            sock.c:513  UCX  WARN  unable to read somaxconn value from /proc/sys/net/core/somaxconn file
1                       2.50
2                       5.02
4                      10.05
8                      20.09
16                     40.13
32                     79.45
64                    156.52
128                   309.40
256                   591.23
512                  1169.76
1024                 2268.85
2048                 4593.76
4096                 6561.39
8192                 9236.60
16384                9455.08
32768                9833.93
65536               12045.44
131072              12193.74
262144              12267.55
524288              12306.87
1048576             12325.76
2097152             12335.04
4194304             12340.38
