
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.81
8                      31.49
16                     31.24
32                     29.73
64                     33.25
128                    35.68
256                    41.23
512                    42.54
1024                   46.25
2048                   85.09
4096                  118.80
8192                  226.92
16384                 140.46
32768                 164.10
65536                 242.64
131072                358.80
262144               1308.87
524288               3321.89
1048576              6213.02
