
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.78
8                      30.07
16                     27.92
32                     31.19
64                     32.52
128                    36.59
256                    40.62
512                    42.11
1024                   49.32
2048                   87.06
4096                  118.48
8192                  232.69
16384                 140.75
32768                 164.70
65536                 226.74
131072                363.38
262144               1243.95
524288               3366.90
1048576              6251.95
