
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.56
8                      28.46
16                     27.82
32                     32.16
64                     32.69
128                    35.21
256                    39.98
512                    41.93
1024                   47.11
2048                   86.44
4096                  117.56
8192                  228.39
16384                 139.12
32768                 162.33
65536                 233.18
131072                356.13
262144               1234.23
524288               3364.58
1048576              6250.32
