
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.43
8                      29.25
16                     29.05
32                     29.44
64                     32.16
128                    34.75
256                    43.24
512                    42.16
1024                   47.18
2048                   85.45
4096                  121.24
8192                  229.36
16384                 141.76
32768                 168.27
65536                 235.82
131072                358.10
262144               1241.71
524288               3487.42
1048576              6304.95
