
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.30
8                      28.99
16                     28.08
32                     29.28
64                     32.22
128                    34.82
256                    39.38
512                    42.27
1024                   45.99
2048                   87.20
4096                  117.95
8192                  228.07
16384                 143.74
32768                 169.23
65536                 217.36
131072                380.68
262144               1257.09
524288               3289.43
1048576              6183.27
