
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.63
8                      28.78
16                     29.05
32                     30.19
64                     33.05
128                    34.66
256                    39.33
512                    42.92
1024                   46.12
2048                   86.02
4096                  120.24
8192                  228.35
16384                 140.79
32768                 170.94
65536                 229.94
131072                350.87
262144               1241.99
524288               3348.62
1048576              6323.23
