# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.08
1                       2.07
2                       2.07
4                       2.08
8                       2.08
16                      2.09
32                      2.34
64                      2.60
128                     2.63
256                     3.11
512                     3.33
1024                    3.90
2048                    4.02
4096                    4.92
8192                    5.33
16384                   6.26
32768                   8.64
65536                  11.78
131072                 18.71
262144                 29.94
524288                 51.15
1048576                94.08
2097152               178.93
4194304               348.89
