# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.41
2                       4.82
4                       9.64
8                      19.30
16                     38.57
32                     76.56
64                    150.34
128                   298.01
256                   569.81
512                  1128.06
1024                 2151.87
2048                 4376.37
4096                 6331.43
8192                 8934.45
16384                9276.81
32768                9662.05
65536               11966.98
131072              12150.50
262144              12246.38
524288              12295.87
1048576             12321.02
2097152             12332.36
4194304             12338.96
