# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.82
4                       9.65
8                      19.24
16                     38.47
32                     76.68
64                    150.63
128                   298.22
256                   568.20
512                  1127.72
1024                 2153.15
2048                 4379.33
4096                 6278.94
8192                 8886.35
16384                9160.32
32768                9678.53
65536               11961.39
131072              12152.10
262144              12246.34
524288              12295.77
1048576             12320.86
2097152             12332.55
4194304             12338.89
