# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.39
2                       4.80
4                       9.62
8                      19.23
16                     38.53
32                     76.72
64                    150.07
128                   298.43
256                   570.35
512                  1127.73
1024                 2181.65
2048                 4368.73
4096                 6304.12
8192                 8921.30
16384                9199.14
32768                9656.87
65536               11964.85
131072              12150.07
262144              12245.66
524288              12295.11
1048576             12320.44
2097152             12332.23
4194304             12338.93
