# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.79
4                       9.60
8                      19.23
16                     38.50
32                     76.66
64                    150.87
128                   298.92
256                   569.15
512                  1126.45
1024                 2191.92
2048                 4391.18
4096                 6345.46
8192                 8907.54
16384                9264.20
32768                9709.23
65536               11970.05
131072              12150.47
262144              12245.71
524288              12295.60
1048576             12320.64
2097152             12332.48
4194304             12338.96
