
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.44
8                      31.21
16                     31.15
32                     31.76
64                     33.85
128                    37.42
256                    40.92
512                    45.33
1024                   47.69
2048                   75.01
4096                   96.25
8192                  185.24
16384                 125.71
32768                 147.56
65536                 198.92
131072                303.06
262144                492.73
524288               1061.35
1048576              2120.86
