
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      36.66
8                      34.79
16                     34.90
32                     36.05
64                     38.09
128                    41.97
256                    43.54
512                    48.21
1024                   50.42
2048                   77.35
4096                   97.70
8192                  184.13
16384                 133.75
32768                 153.91
65536                 233.00
131072                353.89
262144               1198.78
524288               3399.21
1048576              6518.59
