
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      41.50
8                      41.75
16                     41.94
32                     43.21
64                     46.97
128                    50.97
256                    52.12
512                    58.06
1024                   59.33
2048                   76.05
4096                   98.36
8192                  183.57
16384                 128.01
32768                 151.62
65536                 221.99
131072                349.96
262144               1248.73
524288               3419.43
1048576              6418.94
