
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.55
8                      31.00
16                     30.88
32                     31.55
64                     34.38
128                    38.23
256                    41.71
512                    45.44
1024                   47.70
2048                   74.93
4096                   96.22
8192                  190.04
16384                 130.54
32768                 143.42
65536                 191.44
131072                307.22
262144                493.01
524288               1042.47
1048576              2079.39
