
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.31
8                      30.26
16                     30.31
32                     33.08
64                     35.29
128                    38.06
256                    41.90
512                    45.85
1024                   48.17
2048                   74.23
4096                   93.57
8192                  187.63
16384                 125.10
32768                 142.93
65536                 215.36
131072                308.25
262144                470.04
524288               1037.86
1048576              2072.83
