
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.67
8                      31.04
16                     31.82
32                     31.48
64                     34.27
128                    37.99
256                    41.12
512                    46.45
1024                   48.16
2048                   75.34
4096                   95.79
8192                  187.80
16384                 126.67
32768                 145.58
65536                 193.23
131072                310.56
262144                481.22
524288               1092.04
1048576              2106.94
