
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.01
8                      27.68
16                     28.04
32                     28.68
64                     31.47
128                    36.19
256                    41.46
512                    43.52
1024                   48.49
2048                   85.64
4096                  121.93
8192                  228.60
16384                 144.44
32768                 167.02
65536                 221.65
131072                387.07
262144               1307.78
524288               3357.96
1048576              6227.23
