
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.30
8                      29.26
16                     27.92
32                     28.82
64                     34.07
128                    37.96
256                    39.73
512                    41.43
1024                   47.09
2048                   87.36
4096                  121.01
8192                  228.42
16384                 141.07
32768                 166.36
65536                 231.79
131072                381.98
262144               1313.13
524288               3344.58
1048576              6179.76
