
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.29
8                      29.86
16                     27.81
32                     28.89
64                     31.63
128                    34.96
256                    39.56
512                    41.36
1024                   46.12
2048                   85.45
4096                  119.07
8192                  230.74
16384                 143.25
32768                 168.76
65536                 227.54
131072                377.99
262144               1264.03
524288               3340.45
1048576              6253.60
