
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.30
8                      30.30
16                     28.88
32                     33.18
64                     33.67
128                    35.24
256                    41.31
512                    41.67
1024                   45.73
2048                   87.83
4096                  120.39
8192                  229.00
16384                 145.09
32768                 168.69
65536                 234.96
131072                371.51
262144               1266.83
524288               3347.42
1048576              6334.88
