
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.68
8                      27.84
16                     28.12
32                     29.16
64                     32.47
128                    36.16
256                    38.54
512                    41.39
1024                   45.72
2048                   89.01
4096                  119.22
8192                  229.81
16384                 140.20
32768                 167.95
65536                 228.02
131072                365.06
262144               1234.82
524288               3245.61
1048576              6272.92
