
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      28.28
8                      27.47
16                     28.13
32                     31.55
64                     34.74
128                    36.57
256                    38.92
512                    41.14
1024                   45.49
2048                   88.95
4096                  121.55
8192                  228.34
16384                 145.84
32768                 169.91
65536                 236.75
131072                373.10
262144               1268.30
524288               3334.12
1048576              6254.93
