
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.77
8                      18.62
16                     18.43
32                     19.38
64                     21.09
128                    23.75
256                    28.21
512                    29.03
1024                   32.25
2048                   37.10
4096                   81.42
8192                   82.46
16384                  92.06
32768                 120.14
65536                 160.70
131072                244.96
262144                439.64
524288               1014.85
1048576              2047.07
