
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.64
8                      18.36
16                     18.17
32                     19.37
64                     21.08
128                    23.82
256                    26.26
512                    29.10
1024                   33.16
2048                   36.56
4096                   81.05
8192                   82.70
16384                  92.13
32768                 117.26
65536                 167.11
131072                245.47
262144                439.29
524288               1025.09
1048576              2045.71
