
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.57
8                      18.70
16                     18.33
32                     19.49
64                     21.41
128                    24.98
256                    26.37
512                    28.84
1024                   32.33
2048                   35.54
4096                   81.00
8192                   82.89
16384                  92.58
32768                 127.35
65536                 163.75
131072                246.40
262144                438.91
524288               1021.25
1048576              2031.51
