
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.68
8                      18.55
16                     18.34
32                     19.39
64                     21.19
128                    23.76
256                    26.32
512                    29.06
1024                   32.03
2048                   36.41
4096                   81.43
8192                   82.14
16384                  91.63
32768                 119.55
65536                 163.97
131072                246.94
262144                440.50
524288               1013.35
1048576              2042.71
