
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.58
8                      18.41
16                     18.30
32                     19.43
64                     21.15
128                    23.91
256                    26.32
512                    28.90
1024                   32.30
2048                   35.69
4096                   81.21
8192                   81.96
16384                  90.95
32768                 118.80
65536                 165.92
131072                242.74
262144                450.20
524288               1019.66
1048576              2045.45
