
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.68
8                      18.51
16                     20.40
32                     19.45
64                     21.01
128                    23.84
256                    26.38
512                    28.99
1024                   32.41
2048                   35.71
4096                   81.58
8192                   84.14
16384                  91.76
32768                 121.90
65536                 163.01
131072                254.76
262144                440.09
524288               1016.03
1048576              2037.83
