
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.62
8                      18.68
16                     19.43
32                     19.81
64                     21.20
128                    23.68
256                    26.22
512                    28.70
1024                   32.06
2048                   36.72
4096                   82.81
8192                   82.31
16384                 100.81
32768                 120.90
65536                 163.38
131072                239.89
262144                447.29
524288               1018.63
1048576              2040.61
