
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.60
8                      18.68
16                     18.40
32                     20.44
64                     21.12
128                    23.73
256                    26.24
512                    29.01
1024                   32.45
2048                   35.82
4096                   81.79
8192                   84.21
16384                  93.88
32768                 121.30
65536                 164.44
131072                244.99
262144                454.50
524288               1018.60
1048576              2033.40
