
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.55
8                      18.43
16                     18.88
32                     19.67
64                     21.98
128                    23.69
256                    26.44
512                    29.43
1024                   32.22
2048                   35.59
4096                   81.50
8192                   82.03
16384                  94.09
32768                 117.27
65536                 166.60
131072                242.52
262144                438.66
524288               1037.39
1048576              2043.70
