
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.61
8                      30.01
16                     30.66
32                     31.35
64                     34.99
128                    38.15
256                    41.83
512                    44.82
1024                   48.08
2048                   74.96
4096                   93.89
8192                  187.66
16384                 126.71
32768                 144.45
65536                 194.63
131072                308.27
262144                487.73
524288               1043.97
1048576              2062.22
