
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.92
8                      29.93
16                     32.38
32                     33.60
64                     34.72
128                    39.34
256                    41.43
512                    44.90
1024                   48.08
2048                   76.34
4096                   93.23
8192                  189.64
16384                 127.75
32768                 145.15
65536                 199.51
131072                313.29
262144                487.95
524288               1045.80
1048576              2077.67
