
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.71
8                      31.41
16                     30.28
32                     33.56
64                     35.63
128                    38.82
256                    41.44
512                    46.01
1024                   47.50
2048                   76.73
4096                   93.65
8192                  190.56
16384                 126.88
32768                 145.40
65536                 190.47
131072                308.96
262144                476.72
524288               1053.75
1048576              2101.74
