
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.28
8                      30.79
16                     30.40
32                     32.47
64                     34.02
128                    38.29
256                    40.97
512                    44.68
1024                   49.53
2048                   74.30
4096                   93.63
8192                  189.21
16384                 125.83
32768                 144.30
65536                 192.79
131072                310.21
262144                477.77
524288               1061.50
1048576              2111.22
