
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.03
8                      30.03
16                     32.36
32                     31.52
64                     35.44
128                    37.91
256                    41.64
512                    45.12
1024                   47.19
2048                   74.04
4096                   94.94
8192                  190.50
16384                 125.76
32768                 142.84
65536                 201.09
131072                311.73
262144                480.05
524288               1045.99
1048576              2067.47
