
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.32
8                      32.34
16                     31.59
32                     32.91
64                     36.25
128                    40.47
256                    40.33
512                    43.75
1024                   51.00
2048                   76.56
4096                   98.58
8192                  174.27
16384                 130.26
32768                 152.74
65536                 214.93
131072                347.53
262144               1246.77
524288               3275.40
1048576              6296.88
