
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.15
8                      31.15
16                     31.75
32                     31.20
64                     36.23
128                    38.43
256                    41.75
512                    45.98
1024                   47.37
2048                   75.80
4096                   95.45
8192                  189.83
16384                 125.01
32768                 143.31
65536                 191.34
131072                312.58
262144                469.43
524288               1044.50
1048576              2106.51
